 # Source Time function
 # source type CMT
 # scaling scalar moment (M0) =    2.26056663E+25
 # format: #time(s)   #stf   #scalar_moment
   109.35980172185303        1.00000000       2.26056663E+25
   109.44433015668736        1.00000000       2.26056663E+25
   109.52885859152170        1.00000000       2.26056663E+25
   109.61338702635604        1.00000000       2.26056663E+25
   109.69791546119038        1.00000000       2.26056663E+25
   109.78244389602472        1.00000000       2.26056663E+25
   109.86697233085906        1.00000000       2.26056663E+25
   109.95150076569340        1.00000000       2.26056663E+25
   110.03602920052772        1.00000000       2.26056663E+25
   110.12055763536206        1.00000000       2.26056663E+25
   110.20508607019640        1.00000000       2.26056663E+25
   110.28961450503074        1.00000000       2.26056663E+25
   110.37414293986508        1.00000000       2.26056663E+25
   110.45867137469942        1.00000000       2.26056663E+25
   110.54319980953376        1.00000000       2.26056663E+25
   110.62772824436809        1.00000000       2.26056663E+25
   110.71225667920243        1.00000000       2.26056663E+25
   110.79678511403677        1.00000000       2.26056663E+25
   110.88131354887111        1.00000000       2.26056663E+25
   110.96584198370545        1.00000000       2.26056663E+25
   111.05037041853979        1.00000000       2.26056663E+25
   111.13489885337412        1.00000000       2.26056663E+25
   111.21942728820845        1.00000000       2.26056663E+25
   111.30395572304279        1.00000000       2.26056663E+25
   111.38848415787713        1.00000000       2.26056663E+25
   111.47301259271147        1.00000000       2.26056663E+25
   111.55754102754581        1.00000000       2.26056663E+25
   111.64206946238015        1.00000000       2.26056663E+25
   111.72659789721449        1.00000000       2.26056663E+25
   111.81112633204881        1.00000000       2.26056663E+25
   111.89565476688315        1.00000000       2.26056663E+25
   111.98018320171749        1.00000000       2.26056663E+25
   112.06471163655183        1.00000000       2.26056663E+25
   112.14924007138617        1.00000000       2.26056663E+25
   112.23376850622051        1.00000000       2.26056663E+25
   112.31829694105485        1.00000000       2.26056663E+25
   112.40282537588919        1.00000000       2.26056663E+25
   112.48735381072352        1.00000000       2.26056663E+25
   112.57188224555786        1.00000000       2.26056663E+25
   112.65641068039220        1.00000000       2.26056663E+25
   112.74093911522654        1.00000000       2.26056663E+25
   112.82546755006088        1.00000000       2.26056663E+25
   112.90999598489522        1.00000000       2.26056663E+25
   112.99452441972956        1.00000000       2.26056663E+25
   113.07905285456388        1.00000000       2.26056663E+25
   113.16358128939822        1.00000000       2.26056663E+25
   113.24810972423256        1.00000000       2.26056663E+25
   113.33263815906690        1.00000000       2.26056663E+25
   113.41716659390124        1.00000000       2.26056663E+25
   113.50169502873558        1.00000000       2.26056663E+25
   113.58622346356992        1.00000000       2.26056663E+25
   113.67075189840425        1.00000000       2.26056663E+25
   113.75528033323859        1.00000000       2.26056663E+25
   113.83980876807293        1.00000000       2.26056663E+25
   113.92433720290727        1.00000000       2.26056663E+25
   114.00886563774161        1.00000000       2.26056663E+25
   114.09339407257595        1.00000000       2.26056663E+25
   114.17792250741029        1.00000000       2.26056663E+25
   114.26245094224461        1.00000000       2.26056663E+25
   114.34697937707895        1.00000000       2.26056663E+25
   114.43150781191329        1.00000000       2.26056663E+25
   114.51603624674763        1.00000000       2.26056663E+25
   114.60056468158197        1.00000000       2.26056663E+25
   114.68509311641631        1.00000000       2.26056663E+25
   114.76962155125065        1.00000000       2.26056663E+25
   114.85414998608498        1.00000000       2.26056663E+25
   114.93867842091932        1.00000000       2.26056663E+25
   115.02320685575366        1.00000000       2.26056663E+25
   115.10773529058800        1.00000000       2.26056663E+25
   115.19226372542234        1.00000000       2.26056663E+25
   115.27679216025668        1.00000000       2.26056663E+25
   115.36132059509102        1.00000000       2.26056663E+25
   115.44584902992534        1.00000000       2.26056663E+25
   115.53037746475968        1.00000000       2.26056663E+25
   115.61490589959402        1.00000000       2.26056663E+25
   115.69943433442836        1.00000000       2.26056663E+25
   115.78396276926270        1.00000000       2.26056663E+25
   115.86849120409704        1.00000000       2.26056663E+25
   115.95301963893138        1.00000000       2.26056663E+25
   116.03754807376571        1.00000000       2.26056663E+25
   116.12207650860005        1.00000000       2.26056663E+25
   116.20660494343439        1.00000000       2.26056663E+25
   116.29113337826873        1.00000000       2.26056663E+25
   116.37566181310306        1.00000000       2.26056663E+25
   116.46019024793740        1.00000000       2.26056663E+25
   116.54471868277174        1.00000000       2.26056663E+25
   116.62924711760607        1.00000000       2.26056663E+25
   116.71377555244041        1.00000000       2.26056663E+25
   116.79830398727475        1.00000000       2.26056663E+25
   116.88283242210909        1.00000000       2.26056663E+25
   116.96736085694343        1.00000000       2.26056663E+25
   117.05188929177777        1.00000000       2.26056663E+25
   117.13641772661211        1.00000000       2.26056663E+25
   117.22094616144645        1.00000000       2.26056663E+25
   117.30547459628077        1.00000000       2.26056663E+25
   117.39000303111511        1.00000000       2.26056663E+25
   117.47453146594945        1.00000000       2.26056663E+25
   117.55905990078379        1.00000000       2.26056663E+25
   117.64358833561813        1.00000000       2.26056663E+25
   117.72811677045247        1.00000000       2.26056663E+25
   117.81264520528681        1.00000000       2.26056663E+25
   117.89717364012114        1.00000000       2.26056663E+25
   117.98170207495548        1.00000000       2.26056663E+25
   118.06623050978982        1.00000000       2.26056663E+25
